Age,Gender,Weight_in_kg,Height_in_cm,Sleeping_hours_avg,Balanced_Diet,Exercise_type,Weekly_exercise_Hours,BMI,Is_Fit
51,Female,51,166,8.5,Yes,Daily,4.2,18.5,1
18,Male,51,170,7.2,No,Weekly,2.2,17.6,1
37,Male,78,172,7.1,Yes,None,0.0,26.4,0
38,Female,47,158,5.4,Yes,Weekly,1.2,18.8,1
44,Male,89,169,7.9,Yes,None,0.0,31.2,0
20,Male,48,175,7.8,Yes,None,0.0,15.7,1
19,Female,75,156,9.6,Yes,Daily,6.8,30.8,1
41,Female,67,164,6.6,Yes,Daily,6.0,24.9,1
39,Female,62,162,7.3,No,None,0.0,23.6,0
38,Female,56,160,7.3,Yes,Weekly,2.3,21.9,1
39,Male,73,169,8.9,Yes,None,0.0,25.6,0
27,Male,70,171,6.9,Yes,Weekly,1.6,23.9,1
38,Male,92,180,7.3,No,Weekly,3.0,28.4,1
39,Female,67,166,7.7,Yes,None,0.0,24.3,0
26,Female,59,155,7.2,Yes,None,0.0,24.6,1
57,Female,60,163,6.5,Yes,Daily,6.2,22.6,1
41,Female,66,167,7.2,No,None,0.0,23.7,1
21,Male,67,163,8.3,No,Daily,3.4,25.2,1
43,Male,55,179,5.8,Yes,Weekly,4.0,17.2,0
23,Male,54,170,7.2,No,None,0.0,18.7,0
44,Female,74,166,6.2,No,None,0.0,26.9,0
49,Male,71,170,8.4,Yes,None,0.0,24.6,1
25,Female,52,149,5.2,No,None,0.0,23.4,0
47,Male,65,164,6.3,Yes,None,0.0,24.2,1
40,Male,78,175,7.5,Yes,Weekly,1.2,25.5,1
45,Male,68,177,8.9,Yes,Weekly,4.0,21.7,1
58,Female,51,156,6.9,Yes,Daily,7.3,21.0,1
32,Female,68,166,6.3,Yes,Weekly,2.9,24.7,1
26,Male,53,163,9.3,No,Weekly,2.3,19.9,0
24,Male,79,175,5.3,Yes,None,0.0,25.8,0
25,Female,41,154,4.4,Yes,Daily,6.1,17.3,0
34,Male,81,170,7.5,Yes,None,0.0,28.0,0
39,Female,68,162,6.4,No,None,0.0,25.9,0
38,Female,61,156,5.8,Yes,Weekly,3.5,25.1,1
45,Male,83,172,7.9,Yes,Daily,8.4,28.1,1
35,Male,102,182,7.3,Yes,None,0.0,30.8,0
52,Female,70,158,6.3,Yes,Weekly,2.4,28.0,1
32,Male,55,181,5.5,No,None,0.0,16.8,0
68,Male,53,167,8.0,No,None,0.0,19.0,0
43,Female,59,166,7.8,Yes,Daily,4.0,21.4,1
25,Female,71,172,6.9,No,Weekly,1.6,24.0,0
22,Female,55,145,9.2,No,None,0.0,26.2,0
41,Female,51,156,5.7,No,None,0.0,21.0,0
32,Male,79,179,5.2,Yes,Daily,8.6,24.7,1
44,Male,64,174,6.2,Yes,Daily,6.4,21.1,1
41,Female,59,165,6.9,Yes,None,0.0,21.7,1
34,Female,46,158,7.3,No,Weekly,2.4,18.4,1
25,Male,63,176,6.7,Yes,Daily,3.7,20.3,1
18,Female,48,161,7.4,Yes,Weekly,1.5,18.5,1
30,Male,67,183,5.5,Yes,Weekly,3.2,20.0,1
45,Male,88,177,8.7,No,Weekly,2.1,28.1,1
38,Male,63,177,6.9,Yes,Weekly,2.4,20.1,0
20,Male,102,172,8.3,No,Daily,9.2,34.5,1
37,Male,77,172,7.4,No,Daily,8.5,26.0,1
40,Male,73,172,7.5,Yes,None,0.0,24.7,0
24,Male,65,178,7.7,No,Weekly,2.3,20.5,0
37,Female,68,159,7.5,Yes,None,0.0,26.9,1
36,Female,58,164,7.8,No,Daily,3.3,21.6,0
21,Female,77,177,8.6,Yes,Daily,6.2,24.6,1
